document,term,count
297,men,1
297,uplift,1
297,young,1
298,altar,1
298,high,1
298,kid,1
298,lift,1
298,wild,1
299,clinging,1
299,fallen,1
299,fiercehuddling,1
299,forward,1
299,sore,1
300,bids,1
300,hinder,1
300,robe,1
300,wrapt,1
300,yea,1
301,cries,1
301,falter,1
301,mouths,1
301,sweet,1
301,utterance,1
302,curse,1
302,evermore,1
304,curbs,1
304,violence,1
304,voiceless,1
304,wrath,1
305,ground,1
305,saffron,1
305,stole,1
305,threw,1
306,arrow,1
306,eye,1
306,found,1
306,path,1
306,pity,1
307,heart,1
307,mans,1
307,slew,1
308,amazedly,1
308,face,1
308,picture,1
308,striving,1
309,board,1
309,danced,1
309,fathers,1
309,little,1
309,maid,1
310,came,1
310,innocent,1
310,love,1
310,mans,1
310,never,1
310,nigh,1
310,voice,1
311,joined,1
311,little,1
311,paeancry,1
312,cup,1
312,poured,1
312,third,1
314,came,1
314,neither,1
314,saw,1
314,tell,1
314,thereafter,1
315,calchas,1
315,craft,1
315,failed,1
315,tis,1
315,written,1
316,holdeth,1
316,law,1
316,learn,1
316,shall,1
316,suffereth,1
316,well,1
318,hour,1
318,know,1
318,last,1
318,weep,1
318,will,1
319,come,1
319,darkness,1
319,dawn,1
319,shall,1
320,evil,1
320,flower,1
320,good,1
320,may,1
321,argos,1
321,frail,1
321,heart,1
321,prays,1
321,tower,1
322,alone,1
322,guarding,1
322,land,1
324,attendants,1
324,cease,1
324,clytemnestra,1
324,comes,1
324,palace,1
325,face,1
325,finished,1
325,now,1
325,prayer,1
325,sacrifice,1
325,wrought,1
326,approaches,1
326,her,1
326,husband,1
326,leader,1
326,meeting,1
328,leader,1
330,bow,1
330,eyes,1
330,mine,1
330,queen,1
330,state,1
330,thy,1
331,empty,1
331,lies,1
331,mans,1
331,throne,1
331,tis,1
331,written,1
332,heard,1
332,honouredhast,1
332,shall,1
332,thou,1
332,woman,1
333,hath,1
333,hope,1
333,stirred,1
333,sure,1
333,tiding,1
334,altars,1
334,dearly,1
334,fire,1
334,seek,1
334,though,1
335,learn,1
